"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SI","2025-06-17","94.6","-1.29","4.96","Woo, Bryan",692225,693433,"field_out","hit_into_play",,,,,7,"Kristian Campbell grounds out, shortstop J.P. Crawford to first baseman Rowdy Tellez.","R","R","R","SEA","BOS","X",6,"ground_ball",0,1,2025,"-1.53","0.43","-0.61","2.06",,,,2,7,"Top",111.97,160.71,,,,,5.212817152202636,-137.7435947567605,-2.8308730583049586,-20.684853030249304,31.024296076693933,-26.32036770224767,"3.57","1.75",18,"70.3",-5,"95",2310,"6.5",777473,663728,642133,702284,810938,641487,668227,677594,686527,"53.98",0.106,0.098,"0",1,0,0,2,55,2,"Sinker",8,0,0,8,0,8,0,8,"Standard","Standard",227,"0.001","-0.215","76.1","6.9",0.131,"0.215","88.0",8,-8,"0.998","0.002",25,23,25,23,3,0,6,1,,1,"2.12","1.53","1.53","22.1",6.59817702767513,10.950119332893596,42.308899680362785,27.705600874693133,24.735834859537153
"FF","2025-06-17","95","-1.45","4.83","Woo, Bryan",692225,693433,,"called_strike",,,,,4,"Kristian Campbell grounds out, shortstop J.P. Crawford to first baseman Rowdy Tellez.","R","R","R","SEA","BOS","S",,,0,0,2025,"-0.92","1.28","-0.49","2.52",,,,2,7,"Top",,,,,,,4.596295457092979,-138.2240200921826,-3.266377213157512,-12.788707854001817,31.146576246113412,-15.2834084385981,"3.66","1.75",,,,"95.3",2424,"6.5",777473,663728,642133,702284,810938,641487,668227,677594,686527,"54.02",,,,,,,,55,1,"4-Seam Fastball",8,0,0,8,0,8,0,8,"Standard","Standard",238,"0","-0.041",,,,"0.041",,8,-8,"0.998","0.002",25,23,25,23,3,0,6,1,,1,"1.25","0.92","0.92","17.9",,,,,
"SL","2025-06-17","88.4","-1.33","4.84","Woo, Bryan",691785,693433,"grounded_into_double_play","hit_into_play",,,,,9,"Marcelo Mayer grounds into a double play, first baseman Rowdy Tellez to shortstop J.P. Crawford to first baseman Rowdy Tellez. Carlos Narváez out at 2nd. Marcelo Mayer out at 1st.","R","L","R","SEA","BOS","X",3,"ground_ball",0,0,2025,"0.25","0.5","0.41","1.8",,,665966,0,7,"Top",148.47,175.91,,,,,3.7458687665996893,-128.73317293489603,-2.4529843764102797,2.0609459419623937,24.595206511038082,-26.311813100439977,"3.65","1.67",9,"101.5",-11,"89.4",2248,"6.7",777473,663728,642133,702284,810938,641487,668227,677594,686527,"53.8",0.209,0.207,"0",1,0,0,2,54,1,"Slider",8,0,0,8,0,8,0,8,"Standard","Standard",194,"0.004","-0.352","72.8","7.8",0.21,"0.352","101.5",8,-8,"0.994","0.006",25,22,25,23,3,2,6,1,,1,"2.39","-0.25","0.25","20.9",6.038430548420426,-3.991317817174903,34.62375089908019,33.01773223472131,29.081745753112838
"SI","2025-06-17","93.1","-1.32","4.82","Woo, Bryan",665966,693433,"walk","ball",,,,,11,"Carlos Narváez walks.","R","R","R","SEA","BOS","B",,,3,2,2025,"-1.43","0.32","-1.45","3.64",,,,0,7,"Top",,,,,,,2.816603207917014,-135.50019854471643,2.0495067973938017,-18.27909887096608,29.626798017327133,-28.936662491587906,"3.6","1.62",,,,"93.2",2251,"6.4",777473,663728,642133,702284,810938,641487,668227,677594,686527,"54.15",,0.693481,"0.7",1,0,0,,53,10,"Sinker",8,0,0,8,0,8,0,8,"Standard","Standard",234,"-0.002","0.371",,,,"-0.371",,8,-8,"0.996","0.004",25,26,25,27,3,2,6,1,,,"2.31","1.43","1.43","16.7",,,,,
"FF","2025-06-17","95.3","-1.39","4.83","Woo, Bryan",665966,693433,,"foul",,,,,6,"Carlos Narváez walks.","R","R","R","SEA","BOS","S",,,3,2,2025,"-1","1.18","0.65","2.56",,,,0,7,"Top",,,,,,,7.63464314425835,-138.5842892946952,-2.9406732976643903,-14.642009444828428,32.90020907805056,-16.570295142840067,"3.61","1.62",184,"77",17,"95.3",2419,"6.5",777473,663728,642133,702284,810938,641487,668227,677594,686527,"54",,,,,,,,53,9,"4-Seam Fastball",8,0,0,8,0,8,0,8,"Standard","Standard",233,"0","0","72.9","8.2",,"0","88.0",8,-8,"0.996","0.004",25,26,25,27,3,2,6,1,,,"1.35","1","1","16.2",8.762351562515548,4.589086836409435,22.960398179931584,43.04520710806761,27.730095994375418
"SI","2025-06-17","94.9","-1.48","4.84","Woo, Bryan",665966,693433,,"foul",,,,,4,"Carlos Narváez walks.","R","R","R","SEA","BOS","S",,,3,2,2025,"-1.44","0.18","-0.61","2.72",,,,0,7,"Top",,,,,,,5.533641503012634,-138.2046368269399,-0.3142225616072233,-19.659052914652978,30.394846780888358,-30.03469265291178,"3.61","1.62",144,"59.5",57,"95.3",2324,"6.5",777473,663728,642133,702284,810938,641487,668227,677594,686527,"54.03",,,,,,,,53,8,"Sinker",8,0,0,8,0,8,0,8,"Standard","Standard",231,"0","0","73.8","7.2",,"0","88.0",8,-8,"0.996","0.004",25,26,25,27,3,2,6,1,,,"2.35","1.44","1.44","19.4",1.8155206119468557,10.794979373614364,28.247206554369257,29.267390134330824,28.094477027655866
"FF","2025-06-17","94.6","-1.47","4.85","Woo, Bryan",665966,693433,,"foul",,,,,3,"Carlos Narváez walks.","R","R","R","SEA","BOS","S",,,3,2,2025,"-0.98","1.18","0.57","3.14",,,,0,7,"Top",,,,,,,7.532846749896866,-137.4933661966598,-1.3700994099998747,-14.209466096823416,32.34763400059393,-17.140908007912124,"3.61","1.62",251,"75",46,"94.6",2430,"6.5",777473,663728,642133,702284,810938,641487,668227,677594,686527,"54",,,,,,,,53,7,"4-Seam Fastball",8,0,0,8,0,8,0,8,"Standard","Standard",227,"0","0","72.0","7.3",,"0","88.0",8,-8,"0.996","0.004",25,26,25,27,3,2,6,1,,,"1.38","0.98","0.98","19.3",4.008154400120542,13.958335219978242,21.91552610245398,42.19083886219765,25.703485265084183
"FF","2025-06-17","95","-1.54","4.88","Woo, Bryan",665966,693433,,"foul",,,,,5,"Carlos Narváez walks.","R","R","R","SEA","BOS","S",,,3,2,2025,"-0.85","1.28","-0.19","2.62",,,,0,7,"Top",,,,,,,5.469329337316855,-138.14770835235484,-3.070202004163627,-12.186861581751092,33.20002746824587,-15.39564101134569,"3.61","1.62",191,"72.1",52,"94.8",2316,"6.4",777473,663728,642133,702284,810938,641487,668227,677594,686527,"54.09",,,,,,,,53,6,"4-Seam Fastball",8,0,0,8,0,8,0,8,"Standard","Standard",235,"0","0","72.6","7.2",,"0","88.0",8,-8,"0.996","0.004",25,26,25,27,3,2,6,1,,,"1.27","0.85","0.85","15.1",2.6495142919075687,5.119951287083164,28.789160171001143,33.86519705996851,31.337077990211796
"FF","2025-06-17","93.9","-1.55","4.9","Woo, Bryan",665966,693433,,"swinging_strike",,,,,1,"Carlos Narváez walks.","R","R","R","SEA","BOS","S",,,3,1,2025,"-0.87","1.3","-0.45","3.51",,,,0,7,"Top",,,,,,,4.804769762967266,-136.56086310216207,-0.691701436845984,-12.011228476116957,32.93723291487859,-16.143505244283077,"3.61","1.62",,,,"93.9",2354,"6.6",777473,663728,642133,702284,810938,641487,668227,677594,686527,"53.95",,,,,,,,53,5,"4-Seam Fastball",8,0,0,8,0,8,0,8,"Standard","Standard",232,"0","-0.085","75.5","7.5",,"0.085",,8,-8,"0.996","0.004",25,26,25,27,3,2,6,1,,,"1.31","0.87","0.87","18.8",17.443378276947033,0.278618599376273,25.783873728371123,31.902316061279794,29.315737458594214
"SI","2025-06-17","94","-1.41","4.94","Woo, Bryan",665966,693433,,"ball",,,,,11,"Carlos Narváez walks.","R","R","R","SEA","BOS","B",,,2,1,2025,"-1.43","0.17","-1.15","3.67",,,,0,7,"Top",,,,,,,3.83969486917393,-136.75261427486097,2.0766872454205694,-18.786380200390692,31.803351706583427,-30.767887510895843,"3.6","1.62",,,,"93.6",2264,"6.2",777473,663728,642133,702284,810938,641487,668227,677594,686527,"54.31",,,,,,,,53,4,"Sinker",8,0,0,8,0,8,0,8,"Standard","Standard",223,"0","0.122",,,,"-0.122",,8,-8,"0.996","0.004",25,26,25,27,3,2,6,1,,,"2.42","1.43","1.43","21.0",,,,,
