release_speed,release_pos_x,release_pos_z,release_pos_y,launch_speed,effective_speed,release_spin_rate,release_extension,pitch_name
94.6,-1.29,4.96,53.98,70.3,95.0,2310,6.5,Sinker
88.4,-1.33,4.84,53.8,101.5,89.4,2248,6.7,Slider
95.3,-1.39,4.83,54.0,77.0,95.3,2419,6.5,4-Seam Fastball
94.9,-1.48,4.84,54.03,59.5,95.3,2324,6.5,Sinker
94.6,-1.47,4.85,54.0,75.0,94.6,2430,6.5,4-Seam Fastball
95.0,-1.54,4.88,54.09,72.1,94.8,2316,6.4,4-Seam Fastball
91.3,-1.4,4.7,53.9,92.5,91.5,1742,6.6,Changeup
90.4,-1.33,4.78,53.93,74.7,91.0,1701,6.6,Changeup
89.9,-1.33,4.74,53.91,82.0,90.5,1713,6.6,Changeup
95.0,-1.46,4.81,53.86,82.0,95.6,2317,6.6,Sinker
95.7,-1.25,4.82,53.88,80.8,96.0,2384,6.6,Sinker
95.6,-1.55,4.76,53.93,70.7,96.1,2253,6.6,Sinker
95.2,-1.18,4.69,53.83,76.7,95.9,2421,6.7,Sinker
85.2,-1.39,4.71,53.88,68.1,85.8,2606,6.6,Sweeper
94.9,-1.38,4.86,54.09,108.7,95.3,2312,6.4,4-Seam Fastball
95.7,-1.34,4.85,53.93,43.3,96.0,2200,6.6,Sinker
89.9,-1.46,4.87,53.96,62.1,91.2,2250,6.5,Slider
90.3,-1.42,4.77,53.9,82.6,90.8,2199,6.6,Changeup
94.8,-1.44,4.84,54.05,86.4,95.4,2321,6.5,4-Seam Fastball
93.5,-1.32,4.84,54.14,49.2,93.7,2339,6.4,Sinker
90.8,-1.37,4.67,53.88,89.6,91.2,2140,6.6,Changeup
95.6,-1.41,4.73,53.97,99.1,95.7,2416,6.5,Sinker
95.1,-1.42,4.85,54.11,84.7,95.5,2314,6.4,Sinker
94.6,-1.47,4.83,54.13,103.7,94.9,2322,6.4,4-Seam Fastball
95.6,-1.49,4.77,53.87,108.4,96.3,2340,6.6,Sinker
96.5,-1.58,4.8,53.97,91.4,96.5,2157,6.5,4-Seam Fastball
94.6,-1.57,4.79,54.04,91.6,95.0,2306,6.5,4-Seam Fastball
